# model	class	deadlock_policy	deadlock_reason	pr_timeout_s	nightly_timeout_s	nightly_mode	apalache	tlaps	trace
smp-release-admission/SmpReleaseAdmission	safety	check	terminal admission states stutter so deadlock checking remains enabled	30	120	exhaustive	no	no	no
smp-ring3-qualification/SmpRing3Qualification	temporal	check	bounded worker phases and post-join terminal completion remain live under explicit fairness	30	120	exhaustive	no	no	no
trusted-ui-boundary/TrustedUiBoundary	safety	intentional-terminal	prompt authority may revoke	120	900	exhaustive	no	no	no
zero-trust-service-flow/ZeroTrustServiceFlow	temporal	intentional-terminal	request may be rejected revoked timed out or admitted	120	900	exhaustive	no	no	no
userspace-wait-set/UserspaceWaitSet	temporal	check	explicit terminal stutter preserves deadlock checking	120	900	exhaustive	yes	yes	no
userspace-wait-set/WaitSetRegistry	safety	check	create delete retire and transactional restore always retain a bounded next transition	30	120	exhaustive	no	no	no
ui-frame-budget/UiFrameBudget	temporal	intentional-terminal	bounded frame epoch may stop	120	900	exhaustive	no	no	yes
ui-main-loop-wakeup/UiMainLoopWakeup	temporal	check	explicit terminal stutter preserves deadlock checking	120	900	exhaustive	no	no	no
ui-input-motion/UiInputMotion	temporal	intentional-terminal	bounded motion trace may stop	120	900	exhaustive	no	no	no
vfio-release-authorization/VfioReleaseAuthorization	safety	intentional-terminal	release decision is terminal	120	900	exhaustive	no	no	no
wayland-accept-isolation/WaylandAcceptIsolation	temporal	intentional-terminal	accept decision is terminal	120	900	exhaustive	no	no	no
wayland-frame-pacing/WaylandFramePacing	temporal	intentional-terminal	bounded pacing epoch may stop	120	900	exhaustive	no	no	no
product-boot/ProductBoot	temporal	intentional-terminal	product boot reaches a complete topology terminal or an explicit bounded failure	30	120	exhaustive	no	no	yes
acceptance-profile-publication/AcceptanceProfilePublication	temporal	check	enabled and expired terminals stutter while bounded late publication remains explicit	30	120	exhaustive	no	no	no
exec-address-space-transaction/ExecAddressSpaceTransaction	temporal	check	owned and cancelled terminals stutter while root ownership transfer remains explicit	30	120	exhaustive	no	no	no
process-lifecycle-transaction/ProcessLifecycleTransaction	safety	check	dead and exhausted identity terminals stutter while spawn exec exit reap and partial frame rollback remain explicit	30	120	exhaustive	no	no	no
gpu-submit-transaction/GpuSubmitTransaction	safety	check	accepted submit stutters while rejected submits retain an explicit retry transition	30	120	exhaustive	no	no	no
user-stack-growth/UserStackGrowth	temporal	check	committed and retired terminals stutter while the cross-lock transaction settles	30	120	exhaustive	no	no	no
cow-frame-lifecycle/CowFrameLifecycle	safety	check	terminal address spaces stutter while fork rollback COW copy promotion and unmap retain explicit acknowledgement steps	30	120	exhaustive	no	no	no
