ecosystem,repository,number,title,outcome,review_theme,reason_confirmed,reason_note,url
QubesOS,QubesOS/qubes-core-admin,826,Inform clients about suspend,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/826
QubesOS,QubesOS/qubes-core-admin,723,Initialize asyncio event loop before using it,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/723
QubesOS,QubesOS/qubes-core-admin,697,Skip early boot exceptions for preloaded removal,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/697
QubesOS,QubesOS/qubes-core-admin,818,Skip running check for untrusted_qdb access,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/818
QubesOS,QubesOS/qubes-core-admin,775,Integer comparison on qube volume size,closed_unmerged,abi_lifecycle,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/775
QubesOS,QubesOS/qubes-core-admin,773,Disable preloaded disposable volume size check,closed_unmerged,abi_lifecycle,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/773
QubesOS,QubesOS/qubes-core-admin,797,Add Qubes and 3mdeb master keys,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/797
QubesOS,QubesOS/qubes-core-admin,788,Fix case-sensitive event string matching in QubesMgmtEventsDispatcher,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/788
QubesOS,QubesOS/qubes-core-admin,752,Early GUI connection to preloaded disposables,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/752
QubesOS,QubesOS/qubes-core-admin,645,Better error messages,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/645
QubesOS,QubesOS/qubes-core-admin,774,Integer comparison on qube volume size,closed_unmerged,abi_lifecycle,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/774
QubesOS,QubesOS/qubes-core-admin,735,Default to global default_dispvm for named disposables,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/735
QubesOS,QubesOS/qubes-core-admin,758,Switch autostart event in favor of only start,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/758
QubesOS,QubesOS/qubes-core-admin,744,"Disposable performance: Add drive information to HCL, more details in spec, more tests for line graph",closed_unmerged,testing_tooling_process,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/744
QubesOS,QubesOS/qubes-core-admin,644,doc: ProtocolError and PermissionDenied are for client bugs,closed_unmerged,security_memory_safety,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/644
QubesOS,QubesOS/qubes-core-admin,738,Ignore directories in a list,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/738
QubesOS,QubesOS/qubes-core-admin,489,Disable Hyper-V enlightenments in HVMs,closed_unmerged,abi_lifecycle,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/489
QubesOS,QubesOS/qubes-core-admin,699,Introduce gui-background-color feature,closed_unmerged,other,no,Read the PR timeline before attributing a reason. State alone is not a quality label.,https://github.com/QubesOS/qubes-core-admin/pull/699
